"Country" "Continent" "LE" "CigCon" "LE.q" "Cont" "Cont2" "HealthExpPC" "Year" "HE" "LogHE" "HE5"
"Comoros" "Comoros" "Africa" 54.6 NA "(51.8,63.4]" "Afrc" "Africa" 13.2 2004 "[0.3,31.1]" 2.58021682959233 "[0.3,24.2]"
"Congo, Democratic Republic of the" "Congo, Democratic Republic of the" "Africa" 37.1 476 "(28.6,40.2]" "Afrc" "Africa" 4.7 2004 "[0.3,31.1]" 1.54756250871601 "[0.3,24.2]"
"Cook Islands" "Cook Islands" "Australia" 61.6 NA "(51.8,63.4]" "Astr" "Australia" NA NA NA NA NA
"Costa Rica" "Costa Rica" "South America" 67.2 NA "(63.4,75]" "SthA" "S.America" 289.7 2004 "(152,476]" 5.6688459047753 "(212,695]"
"Cote d'Ivoire" "Cote d'Ivoire" "Africa" 39.5 NA "(28.6,40.2]" "Afrc" "Africa" 33 2004 "(31.1,152]" 3.49650756146648 "(24.2,81.2]"
"Croatia" "Croatia" "Europe" 66.6 1995 "(63.4,75]" "Eurp" "Europe" 609.4 2004 "(476,6.1e+03]" 6.41247486655161 "(212,695]"
"Cuba" "Cuba" "North America" 68.3 1343 "(63.4,75]" "NrtA" "N.America" 229.8 2004 "(152,476]" 5.43720936541466 "(212,695]"
"Cyprus" "Cyprus" "Europe" 67.6 NA "(63.4,75]" "Eurp" "Europe" 1109.4 2004 "(476,6.1e+03]" 7.01157460762113 "(695,6.1e+03]"
"Czech Republic" "Czech Republic" "Europe" 68.4 NA "(63.4,75]" "Eurp" "Europe" 770.8 2004 "(476,6.1e+03]" 6.64742893654021 "(695,6.1e+03]"
"Denmark" "Denmark" "Europe" 69.8 1919 "(63.4,75]" "Eurp" "Europe" 3896.6 2004 "(476,6.1e+03]" 8.26785965701179 "(695,6.1e+03]"
"Djibouti" "Djibouti" "Africa" 42.9 NA "(40.2,51.8]" "Afrc" "Africa" 53.1 2004 "(31.1,152]" 3.97217692824789 "(24.2,81.2]"
"Dominica" "Dominica" "North America" 63.7 NA "(63.4,75]" "NrtA" "N.America" 215.1 2004 "(152,476]" 5.37110303627368 "(212,695]"
"Dominican Republic" "Dominican Republic" "North America" 59.6 NA "(51.8,63.4]" "NrtA" "N.America" 148.1 2004 "(31.1,152]" 4.99788772127375 "(81.2,212]"
"Ecuador" "Ecuador" "South America" 61.9 232 "(51.8,63.4]" "SthA" "S.America" 127.3 2004 "(31.1,152]" 4.84654650556336 "(81.2,212]"
"Egypt" "Egypt" "Asia" 59 1275 "(51.8,63.4]" "Asia" "Asia" 64 2004 "(31.1,152]" 4.15888308335967 "(24.2,81.2]"
"El Salvador" "El Salvador" "South America" 59.7 NA "(51.8,63.4]" "SthA" "S.America" 183.8 2004 "(152,476]" 5.21384820992159 "(81.2,212]"
"Equatorial Guinea" "Equatorial Guinea" "Africa" 45.5 NA "(40.2,51.8]" "Afrc" "Africa" 168.2 2004 "(152,476]" 5.12515374753885 "(81.2,212]"
"Eritrea" "Eritrea" "Africa" 50 NA "(40.2,51.8]" "Afrc" "Africa" 9.9 2004 "[0.3,31.1]" 2.29253475714054 "[0.3,24.2]"
"Estonia" "Estonia" "Europe" 64.1 1983 "(63.4,75]" "Eurp" "Europe" 462.8 2004 "(152,476]" 6.13729499531952 "(212,695]"
"Ethiopia" "Ethiopia" "Africa" NA 87 NA "Afrc" "Africa" 5.6 2004 "[0.3,31.1]" 1.7227665977411 "[0.3,24.2]"
